timestamp,message
1765819595315,"INIT_START Runtime Version: provided:al2023.v117	Runtime Version ARN: arn:aws:lambda:us-east-2::runtime:c6399f4c0e3d2282175adf9f479c8de0aef35c584aa5d52a8add2febc9aabd34
"
1765819595392,"START RequestId: 57084a39-5a65-42e6-949b-65dd1a48e811 Version: $LATEST
"
1765819595393,"2025/12/15 17:26:35 Loading seed questions from s3://semantic-cache-demo-agentcore-sources-507286591552-us-east-2/seed-questions.json
"
1765819595732,"2025/12/15 17:26:35 Loaded 50 base questions and 450 variations from 50 scenarios
"
1765819596732,"2025/12/15 17:26:36 [0s] Target RPS: 1 | Total: 0 | Success: 0 | Failures: 0
"
1765819597732,"2025/12/15 17:26:37 [1s] Target RPS: 1 | Total: 1 | Success: 1 | Failures: 0
"
1765819598732,"2025/12/15 17:26:38 [2s] Target RPS: 1 | Total: 2 | Success: 2 | Failures: 0
"
1765819599732,"2025/12/15 17:26:39 [3s] Target RPS: 1 | Total: 3 | Success: 3 | Failures: 0
"
1765819600732,"2025/12/15 17:26:40 [4s] Target RPS: 1 | Total: 4 | Success: 4 | Failures: 0
"
1765819601732,"2025/12/15 17:26:41 [5s] Target RPS: 1 | Total: 5 | Success: 5 | Failures: 0
"
1765819602733,"2025/12/15 17:26:42 [6s] Target RPS: 1 | Total: 6 | Success: 6 | Failures: 0
"
1765819603733,"2025/12/15 17:26:43 [7s] Target RPS: 1 | Total: 7 | Success: 7 | Failures: 0
"
1765819604733,"2025/12/15 17:26:44 [8s] Target RPS: 1 | Total: 8 | Success: 8 | Failures: 0
"
1765819605732,"2025/12/15 17:26:45 [9s] Target RPS: 1 | Total: 9 | Success: 9 | Failures: 0
"
1765819606733,"2025/12/15 17:26:46 [10s] Target RPS: 2 | Total: 10 | Success: 10 | Failures: 0
"
1765819616378,"2025/12/15 17:26:56 [11s] Target RPS: 2 | Total: 12 | Success: 12 | Failures: 0
"
1765819626013,"2025/12/15 17:27:06 [12s] Target RPS: 2 | Total: 14 | Success: 14 | Failures: 0
"
1765819626732,"2025/12/15 17:27:06 [13s] Target RPS: 2 | Total: 16 | Success: 16 | Failures: 0
"
1765819627732,"2025/12/15 17:27:07 [14s] Target RPS: 2 | Total: 18 | Success: 18 | Failures: 0
"
1765819628733,"2025/12/15 17:27:08 [15s] Target RPS: 2 | Total: 20 | Success: 20 | Failures: 0
"
1765819629733,"2025/12/15 17:27:09 [16s] Target RPS: 2 | Total: 22 | Success: 22 | Failures: 0
"
1765819639442,"2025/12/15 17:27:19 [17s] Target RPS: 2 | Total: 24 | Success: 24 | Failures: 0
"
1765819649206,"2025/12/15 17:27:29 [18s] Target RPS: 2 | Total: 26 | Success: 26 | Failures: 0
"
1765819658840,"2025/12/15 17:27:38 [19s] Target RPS: 3 | Total: 28 | Success: 28 | Failures: 0
"
1765819659733,"2025/12/15 17:27:39 [20s] Target RPS: 3 | Total: 31 | Success: 31 | Failures: 0
"
